dataset_name,IForest,RISF,diff
14_glass,0.6839000000000001,0.69462,-0.010719999999999952
20_letter,0.61488,0.64108,-0.0262
21_Lymphography,1.0,1.0,0.0
25_musk,0.998,1.0,-0.0020000000000000018
26_optdigits,0.70296,0.6505599999999999,0.05240000000000011
2_annthyroid,0.8103400000000001,0.81518,-0.0048399999999999554
31_satimage-2,0.9934200000000001,0.9954000000000001,-0.0019799999999999818
36_speech,0.41798,0.40036000000000005,0.01761999999999997
38_thyroid,0.98074,0.9835,-0.0027600000000000957
40_vowels,0.7058,0.74996,-0.04415999999999998
41_Waveform,0.72518,0.68094,0.04424000000000006
42_WBC,0.9927199999999999,0.9927199999999999,0.0
43_WDBC,0.99322,0.98704,0.006179999999999963
44_Wilt,0.44239999999999996,0.43952,0.002879999999999938
6_cardio,0.92684,0.93416,-0.007319999999999993
