clf,dataset_name,dataset_type,auc,max_depth
RISF,21_Lymphography,numerical,1.0,6
RISF,21_Lymphography,numerical,0.9767,6
RISF,21_Lymphography,numerical,0.9884,6
RISF,21_Lymphography,numerical,1.0,7
RISF,21_Lymphography,numerical,0.9651,7
RISF,21_Lymphography,numerical,0.9767,7
RISF,21_Lymphography,numerical,1.0,8
RISF,21_Lymphography,numerical,0.9767,8
RISF,21_Lymphography,numerical,0.9884,8
RISF,21_Lymphography,numerical,1.0,9
RISF,21_Lymphography,numerical,0.9884,9
RISF,21_Lymphography,numerical,0.9884,9
RISF,21_Lymphography,numerical,1.0,10
RISF,21_Lymphography,numerical,0.9884,10
RISF,21_Lymphography,numerical,0.9767,10
RISF,36_speech,numerical,0.4364,6
RISF,36_speech,numerical,0.4766,6
RISF,36_speech,numerical,0.3887,6
RISF,36_speech,numerical,0.4356,7
RISF,36_speech,numerical,0.4967,7
RISF,36_speech,numerical,0.3849,7
RISF,36_speech,numerical,0.46,8
RISF,36_speech,numerical,0.4612,8
RISF,36_speech,numerical,0.4433,8
RISF,36_speech,numerical,0.3766,9
RISF,36_speech,numerical,0.492,9
RISF,36_speech,numerical,0.3926,9
RISF,36_speech,numerical,0.4007,10
RISF,36_speech,numerical,0.4915,10
RISF,36_speech,numerical,0.4241,10
RISF,6_cardio,numerical,0.9595,6
RISF,6_cardio,numerical,0.9508,6
RISF,6_cardio,numerical,0.9322,6
RISF,6_cardio,numerical,0.9596,7
RISF,6_cardio,numerical,0.947,7
RISF,6_cardio,numerical,0.9257,7
RISF,6_cardio,numerical,0.9552,8
RISF,6_cardio,numerical,0.9551,8
RISF,6_cardio,numerical,0.9301,8
RISF,6_cardio,numerical,0.9647,9
RISF,6_cardio,numerical,0.9526,9
RISF,6_cardio,numerical,0.919,9
RISF,6_cardio,numerical,0.9621,10
RISF,6_cardio,numerical,0.9559,10
RISF,6_cardio,numerical,0.928,10
RISF,26_optdigits,numerical,0.4755,6
RISF,26_optdigits,numerical,0.5147,6
RISF,26_optdigits,numerical,0.5752,6
RISF,26_optdigits,numerical,0.4799,7
RISF,26_optdigits,numerical,0.5556,7
RISF,26_optdigits,numerical,0.5679,7
RISF,26_optdigits,numerical,0.5059,8
RISF,26_optdigits,numerical,0.2871,8
RISF,26_optdigits,numerical,0.5075,8
RISF,26_optdigits,numerical,0.6319,9
RISF,26_optdigits,numerical,0.4114,9
RISF,26_optdigits,numerical,0.492,9
RISF,26_optdigits,numerical,0.449,10
RISF,26_optdigits,numerical,0.6872,10
RISF,26_optdigits,numerical,0.566,10
RISF,ad_nominal,categorical,0.6346,6
RISF,ad_nominal,categorical,0.6151,6
RISF,ad_nominal,categorical,0.6391,6
RISF,ad_nominal,categorical,0.6186,7
RISF,ad_nominal,categorical,0.635,7
RISF,ad_nominal,categorical,0.579,7
RISF,ad_nominal,categorical,0.6032,8
RISF,ad_nominal,categorical,0.6366,8
RISF,ad_nominal,categorical,0.5951,8
RISF,ad_nominal,categorical,0.6064,9
RISF,ad_nominal,categorical,0.6336,9
RISF,ad_nominal,categorical,0.603,9
RISF,ad_nominal,categorical,0.5894,10
RISF,ad_nominal,categorical,0.6697,10
RISF,ad_nominal,categorical,0.6367,10
RISF,TwoLeadECG,timeseries,0.8698,6
RISF,TwoLeadECG,timeseries,0.8095,6
RISF,TwoLeadECG,timeseries,0.7378,6
RISF,TwoLeadECG,timeseries,0.8673,7
RISF,TwoLeadECG,timeseries,0.8121,7
RISF,TwoLeadECG,timeseries,0.7244,7
RISF,TwoLeadECG,timeseries,0.854,8
RISF,TwoLeadECG,timeseries,0.866,8
RISF,TwoLeadECG,timeseries,0.7619,8
RISF,TwoLeadECG,timeseries,0.8686,9
RISF,TwoLeadECG,timeseries,0.8502,9
RISF,TwoLeadECG,timeseries,0.7498,9
RISF,TwoLeadECG,timeseries,0.8813,10
RISF,TwoLeadECG,timeseries,0.8717,10
RISF,TwoLeadECG,timeseries,0.7619,10
