clf,dataset_name,dataset_type,auc,max_n_ratio
RISF,21_Lymphography,numerical,1.0,0.0
RISF,21_Lymphography,numerical,1.0,0.0
RISF,21_Lymphography,numerical,1.0,0.0
RISF,21_Lymphography,numerical,1.0,0.1
RISF,21_Lymphography,numerical,1.0,0.1
RISF,21_Lymphography,numerical,1.0,0.1
RISF,21_Lymphography,numerical,1.0,0.25
RISF,21_Lymphography,numerical,0.9884,0.25
RISF,21_Lymphography,numerical,1.0,0.25
RISF,21_Lymphography,numerical,1.0,0.5
RISF,21_Lymphography,numerical,0.9884,0.5
RISF,21_Lymphography,numerical,0.9884,0.5
RISF,21_Lymphography,numerical,1.0,0.75
RISF,21_Lymphography,numerical,0.9884,0.75
RISF,21_Lymphography,numerical,0.9651,0.75
RISF,21_Lymphography,numerical,1.0,1.0
RISF,21_Lymphography,numerical,0.9767,1.0
RISF,21_Lymphography,numerical,0.9884,1.0
RISF,36_speech,numerical,0.3972,0.0
RISF,36_speech,numerical,0.5704,0.0
RISF,36_speech,numerical,0.4297,0.0
RISF,36_speech,numerical,0.4533,0.1
RISF,36_speech,numerical,0.4556,0.1
RISF,36_speech,numerical,0.4404,0.1
RISF,36_speech,numerical,0.391,0.25
RISF,36_speech,numerical,0.4747,0.25
RISF,36_speech,numerical,0.42,0.25
RISF,36_speech,numerical,0.4759,0.5
RISF,36_speech,numerical,0.5119,0.5
RISF,36_speech,numerical,0.3594,0.5
RISF,36_speech,numerical,0.457,0.75
RISF,36_speech,numerical,0.5649,0.75
RISF,36_speech,numerical,0.3971,0.75
RISF,36_speech,numerical,0.46,1.0
RISF,36_speech,numerical,0.4612,1.0
RISF,36_speech,numerical,0.4433,1.0
RISF,6_cardio,numerical,0.9421,0.0
RISF,6_cardio,numerical,0.8809,0.0
RISF,6_cardio,numerical,0.9129,0.0
RISF,6_cardio,numerical,0.9127,0.1
RISF,6_cardio,numerical,0.905,0.1
RISF,6_cardio,numerical,0.8871,0.1
RISF,6_cardio,numerical,0.9498,0.25
RISF,6_cardio,numerical,0.9175,0.25
RISF,6_cardio,numerical,0.9326,0.25
RISF,6_cardio,numerical,0.9394,0.5
RISF,6_cardio,numerical,0.9147,0.5
RISF,6_cardio,numerical,0.9304,0.5
RISF,6_cardio,numerical,0.9659,0.75
RISF,6_cardio,numerical,0.9331,0.75
RISF,6_cardio,numerical,0.9245,0.75
RISF,6_cardio,numerical,0.9552,1.0
RISF,6_cardio,numerical,0.9551,1.0
RISF,6_cardio,numerical,0.9301,1.0
RISF,26_optdigits,numerical,0.7909,0.0
RISF,26_optdigits,numerical,0.6462,0.0
RISF,26_optdigits,numerical,0.6302,0.0
RISF,26_optdigits,numerical,0.4596,0.1
RISF,26_optdigits,numerical,0.7311,0.1
RISF,26_optdigits,numerical,0.6385,0.1
RISF,26_optdigits,numerical,0.6046,0.25
RISF,26_optdigits,numerical,0.6748,0.25
RISF,26_optdigits,numerical,0.3872,0.25
RISF,26_optdigits,numerical,0.5922,0.5
RISF,26_optdigits,numerical,0.604,0.5
RISF,26_optdigits,numerical,0.4921,0.5
RISF,26_optdigits,numerical,0.7023,0.75
RISF,26_optdigits,numerical,0.3724,0.75
RISF,26_optdigits,numerical,0.603,0.75
RISF,26_optdigits,numerical,0.5059,1.0
RISF,26_optdigits,numerical,0.2871,1.0
RISF,26_optdigits,numerical,0.5075,1.0
RISF,ad_nominal,categorical,0.5125,0.0
RISF,ad_nominal,categorical,0.5,0.0
RISF,ad_nominal,categorical,0.5,0.0
RISF,ad_nominal,categorical,0.6014,0.1
RISF,ad_nominal,categorical,0.5772,0.1
RISF,ad_nominal,categorical,0.627,0.1
RISF,ad_nominal,categorical,0.5722,0.25
RISF,ad_nominal,categorical,0.5803,0.25
RISF,ad_nominal,categorical,0.6465,0.25
RISF,ad_nominal,categorical,0.5638,0.5
RISF,ad_nominal,categorical,0.5666,0.5
RISF,ad_nominal,categorical,0.6553,0.5
RISF,ad_nominal,categorical,0.5963,0.75
RISF,ad_nominal,categorical,0.6528,0.75
RISF,ad_nominal,categorical,0.6145,0.75
RISF,ad_nominal,categorical,0.6032,1.0
RISF,ad_nominal,categorical,0.6366,1.0
RISF,ad_nominal,categorical,0.5951,1.0
RISF,TwoLeadECG,timeseries,0.8914,0.0
RISF,TwoLeadECG,timeseries,0.8844,0.0
RISF,TwoLeadECG,timeseries,0.7854,0.0
RISF,TwoLeadECG,timeseries,0.9308,0.1
RISF,TwoLeadECG,timeseries,0.8508,0.1
RISF,TwoLeadECG,timeseries,0.7879,0.1
RISF,TwoLeadECG,timeseries,0.8857,0.25
RISF,TwoLeadECG,timeseries,0.8425,0.25
RISF,TwoLeadECG,timeseries,0.7905,0.25
RISF,TwoLeadECG,timeseries,0.8952,0.5
RISF,TwoLeadECG,timeseries,0.8324,0.5
RISF,TwoLeadECG,timeseries,0.8025,0.5
RISF,TwoLeadECG,timeseries,0.8832,0.75
RISF,TwoLeadECG,timeseries,0.8381,0.75
RISF,TwoLeadECG,timeseries,0.7613,0.75
RISF,TwoLeadECG,timeseries,0.854,1.0
RISF,TwoLeadECG,timeseries,0.866,1.0
RISF,TwoLeadECG,timeseries,0.7619,1.0
