clf,dataset_name,dataset_type,auc
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,36_speech,numerical,0.4105
IForest,36_speech,numerical,0.5297
IForest,36_speech,numerical,0.3789
IForest,6_cardio,numerical,0.9495
IForest,6_cardio,numerical,0.9259
IForest,6_cardio,numerical,0.903
IForest,26_optdigits,numerical,0.6491
IForest,26_optdigits,numerical,0.6776
IForest,26_optdigits,numerical,0.7325
RISF,21_Lymphography,numerical,1.0
RISF,21_Lymphography,numerical,0.9767
RISF,21_Lymphography,numerical,1.0
RISF,36_speech,numerical,0.4414
RISF,36_speech,numerical,0.6124
RISF,36_speech,numerical,0.5094
RISF,6_cardio,numerical,0.9383
RISF,6_cardio,numerical,0.9456
RISF,6_cardio,numerical,0.9299
RISF,26_optdigits,numerical,0.6806
RISF,26_optdigits,numerical,0.7469
RISF,26_optdigits,numerical,0.7746
